SQGDP1 State quarterly gross domestic product (GDP) summary
SQGDP1 State quarterly gross domestic product (GDP) summary
State or DC
GeoFips,GeoName,2024:Q1,2024:Q2,2024:Q3,2024:Q4,2025:Q1,2025:Q2
00000,United States,0.8,3.6,3.3,1.9,-0.6,3.8
01000,Alabama,-1.7,5.7,5.0,1.9,-0.7,1.2
02000,Alaska,-3.5,6.5,5.1,2.4,1.8,2.0
04000,Arizona,7.1,4.5,4.4,4.3,-3.8,3.6
05000,Arkansas,5.7,3.3,4.9,3.5,0.8,-1.1
06000,California,3.6,1.2,4.3,2.5,0.0,4.3
08000,Colorado,-3.1,5.0,2.6,2.1,-1.1,3.5
09000,Connecticut,-3.0,3.0,2.1,1.4,0.3,4.6
10000,Delaware,5.5,5.1,3.4,1.3,0.8,3.2
11000,District of Columbia,-0.5,1.3,0.8,6.8,-2.5,0.0
12000,Florida,1.5,1.9,5.4,2.6,2.6,3.3
13000,Georgia,1.8,3.1,2.5,2.3,-0.9,2.8
15000,Hawaii,-0.8,3.9,4.2,1.4,4.1,0.4
16000,Idaho,2.2,9.0,5.7,3.2,-3.7,3.2
17000,Illinois,-0.3,2.7,1.4,0.3,-1.1,4.8
18000,Indiana,2.7,0.4,3.3,1.7,2.3,3.1
19000,Iowa,0.3,3.1,0.3,-0.8,-1.2,3.7
20000,Kansas,-3.2,6.2,-0.9,1.4,-2.6,6.7
21000,Kentucky,0.5,2.3,2.5,-0.3,-3.3,4.6
22000,Louisiana,-0.4,4.4,1.5,0.2,-2.3,4.0
23000,Maine,4.9,-0.7,2.9,2.9,-4.6,2.4
24000,Maryland,5.3,0.3,4.3,1.0,-2.1,1.4
25000,Massachusetts,1.0,4.1,2.0,-2.2,4.2,4.5
26000,Michigan,-1.2,4.9,-0.9,1.3,-2.5,3.6
27000,Minnesota,-0.2,3.0,5.2,0.0,-1.1,3.4
28000,Mississippi,1.0,4.2,4.3,1.7,0.6,-0.9
29000,Missouri,-0.4,1.6,2.9,1.2,-2.2,3.1
30000,Montana,0.7,4.7,4.0,5.8,-4.0,3.5
31000,Nebraska,-3.8,3.9,-1.1,0.6,-1.7,5.2
32000,Nevada,2.9,1.6,3.4,3.1,-2.2,3.5
33000,New Hampshire,-1.3,2.2,0.5,1.2,2.0,2.0
34000,New Jersey,0.0,2.2,2.3,1.4,0.4,2.8
35000,New Mexico,-1.2,6.5,3.6,2.6,-4.9,5.7
36000,New York,1.5,5.9,3.4,1.5,2.0,4.0
37000,North Carolina,1.0,3.9,4.2,2.8,0.0,3.7
38000,North Dakota,-3.2,1.8,-1.7,0.4,-5.0,7.3
39000,Ohio,-1.0,3.7,2.1,1.4,-1.6,3.9
40000,Oklahoma,-3.4,2.2,3.5,0.5,-1.8,3.6
41000,Oregon,0.2,5.9,3.5,2.6,-5.7,3.1
42000,Pennsylvania,-3.1,3.0,2.9,1.0,-1.1,4.1
44000,Rhode Island,2.8,0.0,3.5,0.9,-0.3,0.5
45000,South Carolina,3.9,4.1,4.0,6.3,0.3,3.4
46000,South Dakota,-4.1,2.9,-0.8,0.9,-3.1,5.2
47000,Tennessee,-0.4,5.1,3.3,0.3,0.3,3.1
48000,Texas,-0.6,5.7,5.1,2.3,-3.0,6.8
49000,Utah,2.7,3.7,2.3,2.2,2.6,3.2
50000,Vermont,-0.7,4.1,3.8,1.6,-2.3,2.1
51000,Virginia,-0.8,3.1,2.4,3.1,-0.6,1.7
53000,Washington,2.2,9.4,1.5,3.4,-1.0,3.4
54000,West Virginia,5.1,0.5,-0.6,2.7,-4.7,4.1
55000,Wisconsin,-1.6,2.8,4.2,0.2,-1.8,3.6
56000,Wyoming,-10.0,4.3,5.2,-1.2,-5.6,5.3
91000,New England,0.1,3.1,2.1,-0.5,2.0,3.9
92000,Mideast,0.7,3.9,3.1,1.5,0.5,3.3
93000,Great Lakes,-0.4,3.0,1.7,0.9,-1.1,4.0
94000,Plains,-1.3,3.1,1.8,0.5,-1.9,4.2
95000,Southeast,1.0,3.3,3.8,2.4,0.2,2.9
96000,Southwest,0.3,5.3,4.9,2.5,-3.1,6.0
97000,Rocky Mountain,-1.1,5.1,3.1,2.3,-0.8,3.5
98000,Far West,3.0,2.8,3.8,2.6,-0.5,3.9

Legend/Footnotes
"1. Real GDP is in millions of chained 2017 dollars. Calculations are performed on unrounded data. Chained (2017) dollar series are calculated as the product of the chain-type quantity index and the 2017 current-dollar value of the corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates are usually not additive. For the All industry total and Government and government enterprises, the difference between the United States and sum-of-states reflects overseas activity, economic activity taking place outside the borders of the United States by the military and associated federal civilian support staff."
"  Last updated: September 26, 2025-- new statistics for 2025:Q2; revised statistics for 2020:Q1-2025:Q1."
