GeoFIPS,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
" ""00000""",100765000,96667000,115263000,144509000,130191000,127141000,146262000,146547000,129310000,145743000,179887000,179457000,215847000,200581000,182147000,167492000,176840000,177117000,164214000,162895000,228621000,289998000,274178000
" ""01000""",2011732,1603643,2186643,2951069,2663956,2126297,1962620,1871248,1898307,1910474,1574417,1795539,3072926,2624447,2673641,2065869,2430396,2484525,2052388,1606493,2843412,4151661,3165405
" ""01001""",14927,11048,27169,39846,39921,45283,42561,20898,22567,20051,29879,16916,27975,17772,16667,23032,28886,31092,30264,31927,28119,30360,43498
" ""01003""",13981,14013,25893,23001,10172,16831,6334,5379,9355,14544,19008,19779,39480,13811,12744,15466,26958,32237,27894,49212,56466,38587,23715
" ""01005""",57119,53317,46836,77075,64338,56083,(D),(D),(D),(D),39697,47229,97764,65833,64654,54401,55510,57812,50256,27990,61314,90819,69621
" ""01007""",11588,12529,(D),12427,11915,14423,14820,13372,12243,13155,13343,13363,15679,11415,8380,6987,7224,5529,5103,5162,4494,4490,6047
" ""01009""",60921,42573,66826,(D),(D),(D),(D),32357,34524,37424,9335,7152,61988,(D),90223,51178,78792,85998,54189,7138,88237,166045,111692
" ""01011""",25454,29531,30164,30440,21901,30917,14883,(D),33592,29397,35518,59892,37909,21301,20338,(D),(D),(D),32040,(D),35880,38855,42763
" ""01013""",35254,33150,37842,46276,28049,11481,47559,34480,35362,41261,11851,20365,47969,53411,66175,43355,53085,52682,37860,11551,59517,103553,68900
" ""01015""",15019,8630,12000,17333,26601,10382,9176,11382,22518,26155,7547,26608,35567,32319,36037,18908,24403,23928,16066,7045,30592,54932,22521
" ""01017""",13843,12738,14059,16923,14626,17381,14879,14902,21750,22018,31078,31558,26401,33893,25749,31431,28496,29014,26988,32054,26329,26883,34730
" ""01019""",21554,10047,14905,21062,15519,13267,(D),(D),25587,23211,40645,26043,51131,34447,48249,40872,50134,62132,51334,17990,62307,104893,76904
" ""01021""",16796,12416,15378,21829,24215,26664,21571,(D),(D),(D),15080,10872,19332,10492,10368,10462,10566,11996,12278,12255,12876,13165,14531
" ""01023""",14213,14450,15819,19824,10362,13391,19779,16656,17536,20260,16642,16510,22151,26556,24166,28426,27374,29124,29243,30136,30556,34011,38614
" ""01025""",19410,19626,20938,23533,26518,32369,37173,25693,25937,26921,29465,22512,29141,26996,27472,30587,25217,25287,26256,32716,29620,29748,36584
" ""01027""",(D),(D),15891,24108,36918,35049,13599,19508,19206,21489,5247,10805,24711,30227,33215,19596,25828,27178,(D),7463,29307,54882,31532
" ""01029""",(D),(D),(D),(D),(D),(D),29415,29163,(D),(D),(D),15700,34333,(D),52597,36000,44679,49294,34846,10611,52388,91614,62571
" ""01031""",95510,80403,79575,101954,87230,39313,68715,86099,83507,98955,59973,76834,117933,102353,112526,75823,94723,101618,89304,44185,125215,181329,105851
" ""01033""",9025,1705,17088,30381,23707,6151,9261,21917,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),3248,(D),22714,11357,20196
" ""01035""",19284,17739,18003,16326,17766,22083,23910,20502,25684,29158,40408,34306,39695,29752,25579,31786,27796,31078,29062,26208,29318,35285,43269
" ""01037""",(D),(D),(D),(D),(D),(D),(D),7863,(D),3461,3102,(D),4121,(D),4040,(D),3544,(D),(D),(D),2592,2906,1543
" ""01039""",46928,40955,55988,55397,49106,43714,38808,36184,30634,29775,24484,21787,49818,44269,52308,40791,51994,56187,48078,26560,69367,95596,64987
" ""01041""",62363,50452,63285,86731,95226,83186,64693,58375,50868,55380,16481,40741,68197,78307,86846,56347,68084,72670,57480,23604,79433,139974,103821
" ""01043""",158032,103987,143283,236225,218337,135112,67277,68208,69065,76976,28394,33406,152634,167156,191030,92548,130905,132471,73115,11071,150427,307047,164053
" ""01045""",37040,29525,30891,42729,42448,25349,29463,32052,28001,32664,18312,14769,53314,48881,65116,52384,60837,66147,55258,16997,75055,129106,85602
