"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2023","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","WHEAT","WHEAT, IRRIGATED - WATER APPLIED, MEASURED IN ACRE FEET / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (PRESSURE)"," (D)","(D)"
"CENSUS","2023","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","WHEAT","WHEAT, IRRIGATED - WATER APPLIED, MEASURED IN ACRE FEET / ACRE","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2023","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","WHEAT","WHEAT, IRRIGATED - WATER APPLIED, MEASURED IN ACRE FEET / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (PRESSURE)"," (D)","(D)"
"CENSUS","2023","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","WHEAT","WHEAT, IRRIGATED - WATER APPLIED, MEASURED IN ACRE FEET / ACRE","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2023","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","WHEAT","WHEAT, IRRIGATED - WATER APPLIED, MEASURED IN ACRE FEET / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (GRAVITY)","3.7","14.2"
"CENSUS","2023","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","WHEAT","WHEAT, IRRIGATED - WATER APPLIED, MEASURED IN ACRE FEET / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (PRESSURE)","2.6","3.5"
"CENSUS","2023","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","WHEAT","WHEAT, IRRIGATED - WATER APPLIED, MEASURED IN ACRE FEET / ACRE","TOTAL","NOT SPECIFIED","3.4","12.4"
"CENSUS","2023","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","WHEAT","WHEAT, IRRIGATED - WATER APPLIED, MEASURED IN ACRE FEET / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (GRAVITY)","0.6","(L)"
"CENSUS","2023","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","WHEAT","WHEAT, IRRIGATED - WATER APPLIED, MEASURED IN ACRE FEET / ACRE","TOTAL","NOT SPECIFIED","0.6","(L)"
"CENSUS","2023","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, IRRIGATED - WATER APPLIED, MEASURED IN ACRE FEET / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (GRAVITY)","2.2","10.0"
